,loss,mean_absolute_error,mean_squared_error,root_mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error,val_root_mean_squared_error
0,342965.1875,401.37261962890625,342965.1875,585.63232421875,162319.984375,277.011962890625,162319.984375,402.8895568847656
1,142595.96875,261.6683349609375,142595.96875,377.6188049316406,124962.0390625,239.21229553222656,124962.0390625,353.49969482421875
2,115876.5,231.66128540039062,115876.5,340.4063720703125,117901.9453125,222.9502716064453,117901.9453125,343.3685302734375
3,103730.7421875,217.81002807617188,103730.7421875,322.07257080078125,99757.6796875,216.20364379882812,99757.6796875,315.8443908691406
4,97456.0546875,212.5373077392578,97456.0546875,312.1795349121094,104888.296875,228.40792846679688,104888.296875,323.8646240234375
5,93088.859375,208.3130645751953,93088.859375,305.10467529296875,121419.84375,255.38601684570312,121419.84375,348.4534912109375
6,90210.4921875,204.20213317871094,90210.4921875,300.3506164550781,89823.015625,203.68255615234375,89823.015625,299.70489501953125
7,82805.2421875,194.18251037597656,82805.2421875,287.7590026855469,93488.0859375,205.2183074951172,93488.0859375,305.7582092285156
8,78210.2109375,186.9725341796875,78210.2109375,279.660888671875,84965.359375,189.47860717773438,84965.359375,291.4881896972656
9,73223.3359375,178.9453887939453,73223.3359375,270.5981140136719,79130.71875,182.2985076904297,79130.71875,281.30181884765625
10,68263.4453125,171.413330078125,68263.4453125,261.2727355957031,72936.8125,175.63031005859375,72936.8125,270.06817626953125
11,67865.78125,169.06402587890625,67865.78125,260.5106201171875,72906.90625,176.87574768066406,72906.90625,270.0127868652344
12,61358.1015625,157.7418212890625,61358.1015625,247.70567321777344,67098.7890625,165.21961975097656,67098.7890625,259.0343322753906
13,59241.3984375,156.01194763183594,59241.3984375,243.3955535888672,83762.9921875,187.58062744140625,83762.9921875,289.4183654785156
14,58027.9609375,152.4126434326172,58027.9609375,240.8899383544922,71884.9609375,168.64418029785156,71884.9609375,268.11370849609375
15,53732.03125,146.1773681640625,53732.03125,231.8017120361328,61795.89453125,154.47781372070312,61795.89453125,248.58779907226562
16,52112.796875,144.55642700195312,52112.796875,228.2822723388672,67355.03125,162.93820190429688,67355.03125,259.5284729003906
17,49524.03515625,139.8375701904297,49524.03515625,222.5399627685547,60854.44921875,161.344482421875,60854.44921875,246.68695068359375
18,46403.23828125,136.82955932617188,46403.23828125,215.4141082763672,59409.90234375,153.20042419433594,59409.90234375,243.74147033691406
19,44611.96875,132.5409698486328,44611.96875,211.2154541015625,57064.84765625,153.1450958251953,57064.84765625,238.8824920654297
20,44092.296875,133.08181762695312,44092.296875,209.98165893554688,54979.37109375,145.85650634765625,54979.37109375,234.476806640625
21,41439.05078125,128.20086669921875,41439.05078125,203.5658416748047,56289.16015625,147.3039093017578,56289.16015625,237.2533721923828
22,41255.09375,129.54000854492188,41255.09375,203.11349487304688,66216.4921875,158.24203491210938,66216.4921875,257.3256530761719
23,37931.62890625,122.45985412597656,37931.62890625,194.76043701171875,58727.87109375,156.9307098388672,58727.87109375,242.3383331298828
24,35412.6328125,119.61389923095703,35412.6328125,188.1824493408203,51575.7734375,141.081298828125,51575.7734375,227.10299682617188
25,33313.859375,115.03831481933594,33313.859375,182.52084350585938,50425.7890625,144.45614624023438,50425.7890625,224.55686950683594
26,32724.322265625,114.48492431640625,32724.322265625,180.89865112304688,50868.3203125,145.90902709960938,50868.3203125,225.54006958007812
27,30469.431640625,111.25530242919922,30469.431640625,174.55494689941406,51751.0703125,137.79100036621094,51751.0703125,227.48861694335938
28,29698.203125,109.12925720214844,29698.203125,172.3316650390625,46321.9921875,136.79736328125,46321.9921875,215.22544860839844
29,30816.5234375,111.08148193359375,30816.5234375,175.54635620117188,48015.75390625,140.29136657714844,48015.75390625,219.12496948242188
30,27287.185546875,104.04513549804688,27287.185546875,165.18833923339844,48030.92578125,140.61170959472656,48030.92578125,219.1595916748047
31,26097.025390625,102.9568099975586,26097.025390625,161.5457305908203,48080.51171875,134.23812866210938,48080.51171875,219.27268981933594
32,27083.384765625,104.6049575805664,27083.384765625,164.57029724121094,41526.01171875,128.0995330810547,41526.01171875,203.77932739257812
33,26558.5703125,103.00324249267578,26558.5703125,162.96800231933594,43905.21484375,135.6650390625,43905.21484375,209.53570556640625
34,24356.880859375,97.88679504394531,24356.880859375,156.06690979003906,41935.28515625,129.24591064453125,41935.28515625,204.78106689453125
35,23896.87109375,98.82986450195312,23896.87109375,154.5861358642578,42868.44921875,127.61127471923828,42868.44921875,207.04696655273438
36,22717.845703125,95.39147186279297,22717.845703125,150.72439575195312,41384.17578125,127.03898620605469,41384.17578125,203.43101501464844
37,22331.63671875,94.408935546875,22331.63671875,149.43772888183594,38787.5703125,122.26315307617188,38787.5703125,196.9456024169922
38,20649.59375,91.70613861083984,20649.59375,143.6996612548828,39571.81640625,125.029541015625,39571.81640625,198.92666625976562
39,20113.673828125,89.9515609741211,20113.673828125,141.8226776123047,39685.51171875,124.02151489257812,39685.51171875,199.2122344970703
40,20767.060546875,91.94873046875,20767.060546875,144.10780334472656,39344.78515625,121.26551818847656,39344.78515625,198.35519409179688
41,20257.494140625,90.03764343261719,20257.494140625,142.32882690429688,35557.40625,117.36786651611328,35557.40625,188.56671142578125
42,19077.876953125,87.78276062011719,19077.876953125,138.1226806640625,39918.99609375,128.5498046875,39918.99609375,199.79739379882812
43,19301.46484375,88.57166290283203,19301.46484375,138.92971801757812,46597.265625,131.8549041748047,46597.265625,215.86399841308594
44,18807.955078125,86.70880126953125,18807.955078125,137.14210510253906,37027.23046875,117.47868347167969,37027.23046875,192.4246063232422
45,18171.869140625,85.26358795166016,18171.869140625,134.80307006835938,38331.73046875,120.44590759277344,38331.73046875,195.784912109375
46,18891.12890625,87.17305755615234,18891.12890625,137.44500732421875,36494.6171875,116.59186553955078,36494.6171875,191.03564453125
47,16852.853515625,82.64170837402344,16852.853515625,129.81854248046875,35321.5078125,113.12186431884766,35321.5078125,187.94017028808594
48,17590.470703125,84.09748077392578,17590.470703125,132.6290740966797,36063.94140625,117.39930725097656,36063.94140625,189.90509033203125
49,15882.13671875,80.56285858154297,15882.13671875,126.02435302734375,34949.0625,112.92447662353516,34949.0625,186.94668579101562
50,16096.732421875,81.35386657714844,16096.732421875,126.8729019165039,35825.234375,114.4969711303711,35825.234375,189.2755584716797
51,17479.876953125,83.9818344116211,17479.876953125,132.21148681640625,42179.40234375,125.8363265991211,42179.40234375,205.37625122070312
52,18051.09375,85.31005859375,18051.09375,134.35435485839844,34529.16796875,112.50171661376953,34529.16796875,185.82025146484375
53,15343.9296875,79.646728515625,15343.9296875,123.87061309814453,39799.296875,123.552734375,39799.296875,199.4976043701172
54,15286.8740234375,78.24960327148438,15286.8740234375,123.64009857177734,31686.1953125,107.76478576660156,31686.1953125,178.00616455078125
55,13944.5400390625,75.2142562866211,13944.5400390625,118.08700561523438,35362.50390625,111.29673767089844,35362.50390625,188.04920959472656
56,15025.392578125,77.96674346923828,15025.392578125,122.57810974121094,35258.18359375,112.81275939941406,35258.18359375,187.77162170410156
57,15830.7724609375,80.19096374511719,15830.7724609375,125.82039642333984,33308.3125,112.21113586425781,33308.3125,182.50564575195312
58,15226.361328125,79.0191650390625,15226.361328125,123.3951416015625,31201.33984375,106.97206115722656,31201.33984375,176.63900756835938
59,12757.923828125,71.87751007080078,12757.923828125,112.95098114013672,40345.28125,121.57454681396484,40345.28125,200.86134338378906
60,15048.134765625,78.43143463134766,15048.134765625,122.67083740234375,33890.3046875,112.16610717773438,33890.3046875,184.09320068359375
61,13208.369140625,72.8187026977539,13208.369140625,114.92766571044922,31992.13671875,107.87384796142578,31992.13671875,178.86346435546875
62,13341.373046875,74.6486587524414,13341.373046875,115.5048599243164,30550.13671875,105.08299255371094,30550.13671875,174.78598022460938
63,12160.81640625,70.88249206542969,12160.81640625,110.27609252929688,32728.416015625,110.39888763427734,32728.416015625,180.90997314453125
64,12691.8291015625,71.94407653808594,12691.8291015625,112.65802001953125,32650.787109375,109.84856414794922,32650.787109375,180.69528198242188
65,12555.6171875,72.73303985595703,12555.6171875,112.05184936523438,36061.5390625,114.0492172241211,36061.5390625,189.8987579345703
66,15579.7412109375,78.43267822265625,15579.7412109375,124.81883239746094,33268.3203125,110.95010375976562,33268.3203125,182.39605712890625
67,12302.134765625,71.0006103515625,12302.134765625,110.91498565673828,32582.998046875,107.87216186523438,32582.998046875,180.5076141357422
68,12951.126953125,72.6460189819336,12951.126953125,113.80301666259766,31415.63671875,105.76966094970703,31415.63671875,177.24456787109375
69,11358.7919921875,68.23561096191406,11358.7919921875,106.57763671875,30696.9296875,105.17794799804688,30696.9296875,175.2053985595703
70,10487.41796875,66.2569808959961,10487.41796875,102.40809631347656,30775.484375,101.99098205566406,30775.484375,175.42942810058594
