,loss,mean_absolute_error,mean_squared_error,root_mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error,val_root_mean_squared_error
0,616002.25,536.5827026367188,616002.25,784.8580932617188,213245.0625,333.04443359375,213245.0625,461.7846374511719
1,191124.53125,312.1389465332031,191124.53125,437.17791748046875,171224.25,291.6990661621094,171224.25,413.7925109863281
2,164249.96875,285.7255554199219,164249.96875,405.27764892578125,154890.703125,277.153076171875,154890.703125,393.5615539550781
3,151859.53125,272.4571533203125,151859.53125,389.69158935546875,146068.734375,266.8443908691406,146068.734375,382.18939208984375
4,144317.546875,264.04766845703125,144317.546875,379.8914794921875,141395.0625,260.39251708984375,141395.0625,376.0253601074219
5,139527.3125,257.77813720703125,139527.3125,373.5335388183594,137801.78125,258.265869140625,137801.78125,371.21661376953125
6,136299.78125,253.6777801513672,136299.78125,369.18798828125,134711.40625,252.03079223632812,134711.40625,367.030517578125
7,133714.53125,250.67759704589844,133714.53125,365.66998291015625,133296.4375,249.7588653564453,133296.4375,365.09783935546875
8,131778.375,247.7313995361328,131778.375,363.0129089355469,131440.046875,249.3839569091797,131440.046875,362.5466003417969
9,130476.984375,245.34262084960938,130476.984375,361.2159729003906,131104.375,247.79249572753906,131104.375,362.0833740234375
10,129297.3828125,243.5774383544922,129297.3828125,359.5794677734375,129169.0546875,244.12680053710938,129169.0546875,359.4009704589844
11,127668.15625,241.34521484375,127668.15625,357.30682373046875,128321.0703125,244.13339233398438,128321.0703125,358.21929931640625
12,126401.265625,239.53863525390625,126401.265625,355.5295715332031,128144.3984375,241.0403594970703,128144.3984375,357.9726257324219
13,125256.9921875,237.9132843017578,125256.9921875,353.9166564941406,127256.46875,239.64349365234375,127256.46875,356.7302551269531
14,125079.4140625,237.09408569335938,125079.4140625,353.6656799316406,125832.03125,238.79061889648438,125832.03125,354.7281188964844
15,123916.65625,235.604248046875,123916.65625,352.0179748535156,125504.625,238.4471435546875,125504.625,354.2663269042969
16,123289.140625,234.44393920898438,123289.140625,351.1255187988281,125529.2890625,239.86676025390625,125529.2890625,354.3011169433594
17,121883.671875,233.0421142578125,121883.671875,349.118408203125,125179.5859375,240.54185485839844,125179.5859375,353.8072814941406
18,121369.421875,232.8301544189453,121369.421875,348.3811340332031,123115.2109375,236.4246826171875,123115.2109375,350.8777770996094
19,120099.75,231.37115478515625,120099.75,346.5541076660156,123495.546875,231.61961364746094,123495.546875,351.4193420410156
20,119198.40625,229.3104248046875,119198.40625,345.251220703125,121524.6796875,233.9163360595703,121524.6796875,348.6039123535156
21,117053.0546875,228.28807067871094,117053.0546875,342.1301574707031,118786.15625,230.67880249023438,118786.15625,344.6536865234375
22,114406.515625,225.28176879882812,114406.515625,338.2403259277344,119238.703125,229.304931640625,119238.703125,345.3095703125
23,112127.21875,223.18707275390625,112127.21875,334.8540344238281,115136.3203125,229.7900848388672,115136.3203125,339.31744384765625
24,109013.171875,220.2000274658203,109013.171875,330.1714172363281,112124.25,224.4946746826172,112124.25,334.8495788574219
25,105438.90625,216.19308471679688,105438.90625,324.71356201171875,107681.0625,220.56613159179688,107681.0625,328.1479187011719
26,101364.0703125,211.85049438476562,101364.0703125,318.37725830078125,106424.8359375,217.02294921875,106424.8359375,326.22821044921875
27,97988.1875,208.84364318847656,97988.1875,313.0306396484375,101441.296875,212.01332092285156,101441.296875,318.4985046386719
28,94505.9375,204.6253204345703,94505.9375,307.4181823730469,98641.453125,211.93118286132812,98641.453125,314.0723571777344
29,91224.8828125,201.68458557128906,91224.8828125,302.0345764160156,96033.0625,205.31288146972656,96033.0625,309.89202880859375
30,88478.6484375,198.2440643310547,88478.6484375,297.45361328125,93955.203125,201.80372619628906,93955.203125,306.5211181640625
31,86467.2109375,195.70974731445312,86467.2109375,294.0530700683594,92204.9296875,199.97268676757812,92204.9296875,303.65264892578125
32,84458.1953125,193.54624938964844,84458.1953125,290.6169128417969,89569.3046875,198.86778259277344,89569.3046875,299.28131103515625
33,82663.0625,190.44493103027344,82663.0625,287.5118408203125,88105.2421875,196.94744873046875,88105.2421875,296.8252868652344
34,80943.5390625,188.65289306640625,80943.5390625,284.5057678222656,87778.34375,196.21148681640625,87778.3359375,296.2740783691406
35,79510.71875,186.5238037109375,79510.71875,281.9764404296875,87588.453125,198.56797790527344,87588.453125,295.9534606933594
36,77850.9375,184.5020294189453,77850.9375,279.017822265625,86234.1953125,197.0316619873047,86234.1953125,293.6565856933594
37,77033.4453125,182.8275909423828,77033.4453125,277.54901123046875,83691.796875,193.18087768554688,83691.796875,289.29534912109375
38,75581.859375,180.42933654785156,75581.859375,274.9215393066406,83613.21875,189.2015380859375,83613.21875,289.1595153808594
39,73930.9765625,178.63633728027344,73930.9765625,271.90252685546875,82670.9453125,188.06845092773438,82670.9453125,287.5255432128906
40,72781.7265625,177.087646484375,72781.7265625,269.7808837890625,80225.15625,187.91650390625,80225.15625,283.2404479980469
41,70805.3359375,173.9034423828125,70805.3359375,266.09271240234375,80051.2578125,189.49024963378906,80051.2578125,282.9333190917969
42,69786.3359375,172.85704040527344,69786.3359375,264.1710205078125,78236.09375,186.3797149658203,78236.09375,279.7071533203125
43,68881.765625,171.56472778320312,68881.765625,262.453369140625,76865.5390625,182.22164916992188,76865.5390625,277.246337890625
44,67325.875,168.85324096679688,67325.875,259.4722900390625,76245.9375,179.96450805664062,76245.9375,276.1266784667969
45,66192.390625,167.7560577392578,66192.390625,257.27880859375,75567.4453125,180.703125,75567.4453125,274.89532470703125
46,64980.6796875,165.27232360839844,64980.6796875,254.9130859375,74134.6171875,178.344970703125,74134.6171875,272.2767333984375
47,64051.3046875,163.9602813720703,64051.3046875,253.08358764648438,74274.328125,179.72312927246094,74274.328125,272.5331726074219
48,62942.02734375,162.6413116455078,62942.02734375,250.8824920654297,72108.9375,172.89418029785156,72108.9375,268.53106689453125
49,61399.2578125,160.38368225097656,61399.2578125,247.7887420654297,70223.75,172.47824096679688,70223.75,264.9976501464844
50,60433.8046875,159.15713500976562,60433.8046875,245.8328857421875,70113.7734375,170.00355529785156,70113.7734375,264.7900695800781
51,59548.33984375,157.6941680908203,59548.33984375,244.02528381347656,70303.015625,174.73565673828125,70303.015625,265.14715576171875
52,58713.90625,156.59664916992188,58713.90625,242.3095245361328,69307.2265625,174.4002685546875,69307.2265625,263.2626647949219
53,57720.58984375,154.5160369873047,57720.58984375,240.2510986328125,68393.28125,172.7484130859375,68393.28125,261.5210876464844
54,56619.48046875,153.89578247070312,56619.48046875,237.948486328125,66280.1171875,166.381591796875,66280.1171875,257.4492492675781
55,55358.1015625,152.34359741210938,55358.1015625,235.28302001953125,66909.828125,164.81863403320312,66909.828125,258.6693420410156
56,54683.98828125,150.42015075683594,54683.98828125,233.84608459472656,64634.10546875,166.32579040527344,64634.10546875,254.23239135742188
57,53900.28125,148.88113403320312,53900.28125,232.16433715820312,63808.2421875,163.30844116210938,63808.2421875,252.60293579101562
58,53055.33984375,148.07347106933594,53055.33984375,230.3374481201172,63190.80859375,161.06411743164062,63190.80859375,251.37782287597656
59,51934.671875,145.9485321044922,51934.671875,227.8917999267578,62172.171875,162.6473846435547,62172.171875,249.34347534179688
60,51008.28125,144.8819580078125,51008.28125,225.85012817382812,62035.2265625,162.33453369140625,62035.2265625,249.0687255859375
61,50150.75390625,143.3892364501953,50150.75390625,223.94363403320312,61326.921875,159.49095153808594,61326.921875,247.64273071289062
62,49306.765625,142.2784881591797,49306.765625,222.05126953125,59358.609375,156.7951202392578,59358.609375,243.63623046875
63,48566.640625,141.21694946289062,48566.640625,220.37840270996094,59118.66796875,157.71005249023438,59118.66796875,243.143310546875
64,47471.0390625,139.07078552246094,47471.0390625,217.8784942626953,61941.41015625,163.57054138183594,61941.41015625,248.88031005859375
65,46894.73046875,138.1621856689453,46894.73046875,216.55191040039062,58319.484375,154.53668212890625,58319.484375,241.49427795410156
66,46036.46875,137.2270965576172,46036.46875,214.5611114501953,56944.38671875,151.77894592285156,56944.38671875,238.63023376464844
